iter	Passed	Remaining
402	17288	25611
403	17321	25554
404	17358	25501
405	17400	25457
406	17454	25430
407	17524	25427
408	17561	25376
409	17596	25321
410	17632	25269
411	17660	25204
412	17685	25136
413	17717	25077
414	17738	25004
415	17762	24936
416	17787	24869
417	17816	24807
418	17847	24748
419	17868	24675
420	17909	24630
421	17949	24585
422	17979	24525
423	17999	24452
424	18026	24388
425	18058	24332
426	18085	24269
427	18114	24209
428	18134	24137
429	18159	24071
430	18187	24010
431	18214	23949
432	18243	23888
433	18263	23818
434	18290	23756
435	18313	23689
436	18340	23629
437	18359	23557
438	18388	23498
439	18414	23436
440	18448	23384
441	18520	23380
442	18547	23320
443	18576	23262
444	18604	23202
445	18622	23132
446	18647	23069
447	18674	23009
448	18703	22951
449	18722	22883
450	18751	22825
451	18776	22763
452	18805	22707
453	18826	22641
454	18851	22580
455	18877	22519
456	18910	22469
457	18939	22412
458	18965	22353
459	18984	22285
460	19013	22230
461	19048	22181
462	19073	22121
463	19104	22069
464	19149	22031
465	19182	21981
466	19207	21922
467	19237	21868
468	19266	21812
469	19287	21749
470	19313	21691
471	19342	21636
472	19366	21577
473	19391	21519
474	19410	21454
475	19434	21394
476	19463	21340
477	19484	21278
478	19509	21220
479	19533	21161
480	19565	21111
481	19599	21063
482	19638	21021
483	19674	20975
484	19699	20917
485	19730	20867
486	19764	20820
487	19790	20764
488	19809	20700
489	19831	20640
490	19856	20584
491	19878	20524
492	19907	20472
493	19936	20420
494	19964	20367
495	19994	20316
496	20019	20261
497	20038	20199
498	20062	20143
499	20088	20088
500	20108	20028
501	20133	19973
502	20160	19920
503	20188	19868
504	20208	19808
505	20233	19754
506	20259	19700
507	20288	19649
508	20319	19600
509	20359	19560
510	20397	19519
511	20432	19475
512	20459	19422
513	20497	19380
514	20536	19339
515	20573	19297
516	20615	19260
517	20645	19210
518	20667	19154
519	20695	19103
520	20725	19054
521	20765	19014
522	20815	18984
523	20854	18944
524	20896	18906
525	20935	18866
526	21063	18905
527	21133	18891
528	21203	18878
529	21305	18893
530	21348	18855
531	21400	18825
532	21566	18895
533	21650	18893
534	21687	18850
535	21721	18803
536	21753	18756
537	21785	18707
538	21818	18661
539	21851	18613
540	21885	18568
541	21926	18528
542	21949	18473
543	21978	18423
